Participante,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas,indice_creencia_norm
37,Resolución Individual,29.0,F,0,I,I,II,4,0,1,0.25
37,Resolución Individual,29.0,F,0,V,C,VC,5,1,1,0.25
37,Resolución Individual,29.0,F,0,V,I,VI,6,0,0,0.25
37,Resolución Individual,29.0,F,0,I,C,IC,7,0,1,0.25
37,Resolución Individual,29.0,F,0,I,I,II,8,1,0,0.25
38,Resolución Individual,22.0,M,0,V,C,VC,1,1,1,0.0
38,Resolución Individual,22.0,M,0,V,I,VI,2,1,1,0.0
38,Resolución Individual,22.0,M,0,I,C,IC,3,0,1,0.0
38,Resolución Individual,22.0,M,0,I,I,II,4,0,1,0.0
38,Resolución Individual,22.0,M,0,V,C,VC,5,0,0,0.0
38,Resolución Individual,22.0,M,0,V,I,VI,6,0,0,0.0
38,Resolución Individual,22.0,M,0,I,C,IC,7,0,1,0.0
38,Resolución Individual,22.0,M,0,I,I,II,8,0,1,0.0
39,Resolución Individual,21.0,F,0,V,C,VC,1,0,0,0.25
39,Resolución Individual,21.0,F,0,V,I,VI,2,0,0,0.25
39,Resolución Individual,21.0,F,0,I,C,IC,3,0,1,0.25
39,Resolución Individual,21.0,F,0,I,I,II,4,0,1,0.25
39,Resolución Individual,21.0,F,0,V,C,VC,5,1,1,0.25
39,Resolución Individual,21.0,F,0,V,I,VI,6,0,0,0.25
39,Resolución Individual,21.0,F,0,I,C,IC,7,0,1,0.25
39,Resolución Individual,21.0,F,0,I,I,II,8,0,1,0.25
40,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.75
40,Resolución Individual,20.0,F,0,V,I,VI,2,0,0,0.75
40,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.75
40,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.75
40,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.75
40,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,0.75
40,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.75
40,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.75
41,Resolución Individual,22.0,F,0,V,C,VC,1,1,1,0.25
41,Resolución Individual,22.0,F,0,V,I,VI,2,1,1,0.25
41,Resolución Individual,22.0,F,0,I,C,IC,3,1,0,0.25
41,Resolución Individual,22.0,F,0,I,I,II,4,1,0,0.25
41,Resolución Individual,22.0,F,0,V,C,VC,5,1,1,0.25
41,Resolución Individual,22.0,F,0,V,I,VI,6,1,1,0.25
41,Resolución Individual,22.0,F,0,I,C,IC,7,1,0,0.25
41,Resolución Individual,22.0,F,0,I,I,II,8,0,1,0.25
42,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.25
42,Resolución Individual,20.0,F,0,V,I,VI,2,1,1,0.25
42,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.25
42,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.25
42,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.25
42,Resolución Individual,20.0,F,0,V,I,VI,6,1,1,0.25
42,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.25
42,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.25
43,Resolución Individual,20.0,F,0,V,C,VC,1,0,0,-0.25
43,Resolución Individual,20.0,F,0,V,I,VI,2,1,1,-0.25
43,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,-0.25
43,Resolución Individual,20.0,F,0,I,I,II,4,1,0,-0.25
43,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,-0.25
43,Resolución Individual,20.0,F,0,V,I,VI,6,1,1,-0.25
43,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,-0.25
